Id,Label,style,instrument
0,benedictquinn,lofi,guitar
1,jasmineoakleymusic,rnb,guitar
2,itsolihannaford,jazz,bass
3,tenitinks1,None,None
4,pastelmusique,None,None
5,thatdappermusician,jazz,chords
6,rubenwan,neosoul,guitar
7,xanderrascall,None,guitar
8,captured_by_zohaib,None,None
9,wilmore.music,house,piano
10,profflutebae,None,flute
11,dompalombimusic,funk,drums
12,huberjonathan,jazz,synth
13,vadesings,rnb,None
14,alesssos,jazz,tuba
15,ralphb0ne,jazz,chords
16,raquel.themartins,jazz,guitar
17,theonlytylerl,jazz,drums
18,projectatlanticmusic,metal,guitar
19,andrew.hadro,jazz,saxophone
20,aaronjharrison18,None,None
21,gmurray888,gospel,None
22,jemheigis,dubstep,synth
23,theryanslatko,jazz,piano
24,nicomendozamusic,jazz,bass
25,danaegreenfield,jazz,piano
26,julia.lange.guitar,None,guitar
27,nickymoon_custom_cymbals,None,drums
28,johnmarknelson,lofi,bass
29,connorterrones,jazz,synth
30,_miri_music,groove,chords
31,swinglesingers,jazz,drums
32,e_reacts,jazz,guitar
33,saucyvocals,rnb,None
34,midenaike,None,None
35,natalie_lindi,None,None
36,kirstenoboe,jazz,None
37,konaemannys,None,tuba
38,jessegtrumpet,jazz,None
39,samthehorn,None,guitar
40,luca.wetherall,None,piano
41,aimeenolte,jazz,piano
42,thebrocktrumpet,classical,None
43,rob_o_code,None,tuba
44,joedifioremusic,jazz,saxophone
45,jazzmandan,jazz,saxophone
46,nomoreicloudstorage,None,None
47,mayorseb,groove,bass
48,micka.the_cat,None,None
49,greenlaine,metal,None
50,mr.breazy,None,None
51,leopfollowme,funk,saxophone
52,nathaaangreer,jazz,drums
53,simplypiano,None,piano
54,kenjameskubota,jazz,cello
55,sophiatrevormusic,jazz,piano
56,josh_turner_guitar,jazz,guitar
57,gavinconnollymusic,indiemusic,drums
58,britneyditoccomusic,indiemusic,guitar
59,judasthedudas,None,guitar
60,albertriveramusic,jazz,None
61,ewokbeats,jazz,drums
62,abedin_saxstuff,jazz,saxophone
63,petrinadelaceyy,rap,None
64,zcbender,gospel,None
65,preacherzay,rap,None
66,marissa.p32,None,None
67,dubstepgutterofficial,dubstep,None
68,chriskeeling_,funk,drums
69,btwbassofficial,metal,bass
70,amandamacmusic,None,None
71,seanbertrammusic,None,guitar
72,jrodmag,metal,drums
73,curlyheadseth_209,rock,guitar
74,blondgoblin,None,piano
75,scary_fu,None,None
76,omfgrant,indie,drums
77,heidiplaysmusic,None,piano
78,catherineclouise,None,None
79,flawedandforgiven,jazz,saxophone
80,atomic_stingray,jazz,bass
81,ericbeltrandrums,metal,drums
82,dudebooty69,jazz,drums
83,alex_moukala,funk,bass
84,christofersco21,funk,None
85,juliaprattmusic,None,None
86,glenwoodcrowe,None,None
87,mandagracemusic,rnb,None
88,ronartisii,funk,guitar
89,__legrand__,hiphop,bass
90,notvulcan_,None,None
91,sunbomaproductions,None,None
92,gambit.studios,None,None
93,oliparker_music,jazz,None
94,oli_griffiths,None,None
95,jonsmithmusic_,None,None
96,joshhawkinsguitar,groove,guitar
97,legendaryriffs,None,None
98,samohtmusic,None,None
99,cameronwrightofficial,None,None
100,georgelovett,rnb,None
101,fro_dera,rap,None
102,itsv1fundz,None,None
103,sleepy..bat,None,None
104,bensrightbrain,None,None
105,joshtellsastory,None,None
106,trumpetinggalaxy,None,tuba
107,andrewhill_music,None,guitar
108,alialene,None,None
109,jeffreyeast,None,None
110,renaejaera,jazz,bass
111,allanrandallpercus,None,piano
112,addisonkotu,None,None
113,sammyhaigmusic,jazz,piano
114,samuelplaysbrass,None,bass
115,thicc_boi_choi,None,tuba
116,angelinad_b,jazz,piano
117,june.lee1214,None,None
118,robertkomaniecki,jazz,guitar
119,its_adamneely,jazz,None
120,ethan.smith008,None,guitar
121,citlalyyyyy_,None,None
122,bigboifhorn,None,None
123,pookman4,jazz,tuba
124,morganpaigesings,classical,flute
125,musicbynemo,lofi,piano
126,doescellothingz,funk,cello
127,nextlifemusic,pop,None
128,benrechel,folk,cello
129,tomscottjazzman,jazz,flute
130,rickydrumsnmusic,punk,drums
131,solomonthefox,funk,guitar
132,yourfriendbil,jazz,bass
133,jaimensather,None,guitar
134,tadaitsxander,jazz,None
135,heyhooowie,jazz,piano
136,pat.smith85,rnb,None
137,joe.sach,folk,guitar
138,ahyesbrass,funk,tuba
139,fadnorrizz,jazz,piano
140,mckenna_little_k,None,guitar
141,_.s0ph1e3.._,None,None
142,josalexx,None,None
143,alotofcelery,None,None
144,abdul_wavy,rock,None
145,davidrogers996,None,None
146,manta_tiktok,None,None
147,musicwithgarcia,None,None
148,iamedgarlop,None,None
149,c.ligs,None,piano
150,super_haz,lofi,piano
151,ariellebeatrix,None,None
152,shaan.ramaprasad,rap,violin
153,edenkai_official,None,None
154,shelbierassler,None,None
155,benchaverin,None,flute
156,the_soch,indiemusic,drums
157,miriamchristmastree,None,None
158,bigtittyghostgf,None,None
159,rsberkeley,jazz,saxophone
160,wise.john,None,bass
161,caitygyorgy,jazz,saxophone
162,contejasmusic,jazz,piano
163,margozelle,jazz,None
164,mneufeldmusic,jazz,piano
165,thebassvault,jazz,bass
166,evntyd_,None,guitar
167,teethmuscles,None,guitar
168,george_collins_17,None,guitar
169,tubaryan,jazz,tuba
170,rykersutton0804,rock,None
171,rockwellacapellaofficial,None,bass
172,buaunaballmusic,rock,cello
173,isaacdiabedics,jazz,drums
174,matthewmakesmusic,jazz,bass
175,bassic_nelson,jazz,bass
176,tommyamimusic,jazz,saxophone
177,siahthylegend,rap,None
178,jordanluketaylor,indie,None
179,bradydaman69,metal,None
180,reubenspyker,jazz,drums
181,metalheadfemboy,metal,None
182,imprest0,rock,guitar
183,jaydub374,None,guitar
184,jazztokofficial,jazz,saxophone
185,vibin2vinyl91,None,None
186,311sux,rock,None
187,abrambull,lofi,None
188,fionnlaghbluitt,punk,guitar
189,i_can_kinda_play_guitar,funk,bass
190,rockstarmusiccentral,None,guitar
191,lucasredwood.drums,None,drums
192,cosimoracco,classical,guitar
193,jessicasolemusic,None,None
194,emilyrose_music_,jazz,guitar
195,jgershy,None,drums
196,jjantos,None,None
197,lindsayyscott,None,guitar
198,brittelizabeth1,None,guitar
199,samg0i,None,None
