user_name,signature,verified,basic_stats,collabs,music_collabs,hashtags
johnmarknelson,music maker in los angeles,False,"follower_count : 8226
following_count : 64
likes_count : 60400
video_count : 70
last_active : 2022-01-25
freq_post : 1 days
","christofersco21
dwrigz
juliaprattmusic
glenwoodcrowe
mandagracemusic
ronartisii
__legrand__","christofersco21 : https://tiktok.com/@johnmarknelson/video/7043847964447575302 (duo, vidéo num: 17)
ronartisii : https://tiktok.com/@johnmarknelson/video/7040582998663712006 (duo, vidéo num: 28)
__legrand__ : https://tiktok.com/@johnmarknelson/video/7039871731732958469 (duo, vidéo num: 29)
","instruments : guitar (7), bass (11), piano (4), tuba (1), saxophone (1)
styles : lofi (11)
others : duet, singing, guitar, bass, lofi, producersoftiktok, fy, fyp, beats, viral, musiciansoftiktok, piano, songwriting, tuba, saxophone
"
christofersco21,"Swimming in the ocean of music artistry 😊

🏳️‍🌈",False,"follower_count : 116
following_count : 398
likes_count : 726
video_count : 26
last_active : 2022-01-18
freq_post : 7 days
","ethanbortnick
evntyd_
ethanhodges02
its_thebeardedguitarist
christofersco21
vadesings
johnmarknelson
jacobcollier
sadiejean
sowan000
ryanrobsonbluer
liannefrankel
itspoppymoon
pat.smith85
lukehatchmusic","evntyd_ : https://tiktok.com/@christofersco21/video/7047329779011341615 (duo, vidéo num: 2)
ethanhodges02 : https://tiktok.com/@christofersco21/video/7046615972429548847 (duo, vidéo num: 3)
christofersco21 : https://tiktok.com/@christofersco21/video/7044657996613602606 (duo, vidéo num: 6)
vadesings : https://tiktok.com/@christofersco21/video/7044301087993548079 (duo, vidéo num: 7)
johnmarknelson : https://tiktok.com/@christofersco21/video/7043540738914667822 (duo, vidéo num: 8)
itspoppymoon : https://tiktok.com/@christofersco21/video/6984151226313149701 (duo, vidéo num: 22)
pat.smith85 : https://tiktok.com/@christofersco21/video/6983986893360762118 (duo, vidéo num: 24)
","instruments : 
styles : funk (1)
others : duet, cutmyfingersoff, fyp, fypシ, singer, singing, songwriter, gay, lgbt, wydnow, sadiejean, valerie, amywinhouse, christmas, duets, jacobcollier, inprogress, duetthis, original, vibes
"
ronartisii,,False,"follower_count : 39
following_count : 19
likes_count : 182
video_count : 14
last_active : 2022-01-13
freq_post : 62 days
",johnmarknelson,"johnmarknelson : https://tiktok.com/@ronartisii/video/7040548446859988270 (duo, vidéo num: 2)
","instruments : guitar (1)
styles : funk (1)
others : duetwithme, guitar, duetme, letsgo, guitartok, funk, fastguitar, duet
"
__legrand__,You think this is cool? just wait till I bust out my recorder.,False,"follower_count : 369
following_count : 38
likes_count : 4860
video_count : 16
last_active : 2022-01-26
freq_post : 3 days
","johnmarknelson
jakefinemusic","johnmarknelson : https://tiktok.com/@__legrand__/video/7043173250133691653 (duo, vidéo num: 12)
","instruments : saxophone (1)
styles : rnb (1)
others : jazztok, duet, sax, altosax, smoothjazz, friday, saxophone, rnb, duetthis
"
evntyd_,"Stream Parisian Fur
Pre-Save Boredom
⬇️",False,"follower_count : 58300
following_count : 71
likes_count : 511200
video_count : 240
last_active : 2022-01-26
freq_post : 0 days
",dakotadrummorgan,"dakotadrummorgan : https://tiktok.com/@evntyd_/video/7052519900937555246 (duo, vidéo num: 20)
","instruments : 
styles : 
others : duet, music, emo, midwestemo, poppunk, fyp
"
ethanhodges02,Insta @ethanhodgesss,False,"follower_count : 98700
following_count : 72
likes_count : 1300000
video_count : 76
last_active : 2022-01-24
freq_post : 2 days
","iamtomwalker
lewiscapaldi
jessiereyez",,"instruments : 
styles : 
others : cover, acousticcovers, honor50duet, spotifywrapped, fyp, singing
"
vadesings,"Multi-Award Winning A Cappella R&B Quintet 
🎤🎙🇬🇧
20K✅ 30K✅40K✅ 50K✅ 75K💨",False,"follower_count : 65500
following_count : 409
likes_count : 440000
video_count : 29
last_active : 2022-01-23
freq_post : 11 days
","saucyvocals
herofficial
midenaike
natalie_lindi
usher",,"instruments : 
styles : rnb (10)
others : saucyvadeduet, vadeduets, vadesings, foryou, foryoupage, vade, boyziimen, steviewonder, fyp, acapella, rnb, vocals, duetwithme, chakakhan, anitabaker, harmony, jazzduet, swv, weak, h
"
itspoppymoon,"New Single ‘Always almost’✨
OUT NOW on every streaming platform 🖤",False,"follower_count : 69700
following_count : 186
likes_count : 1100000
video_count : 145
last_active : 2022-01-25
freq_post : 2 days
","kurouchiha99
jellynote.official",,"instruments : 
styles : 
others : singwithme, singchallenge, duet, yousingmelody, duetme, harmony, fyp, aerosmith, vocals, christmas, thewitcher, henrycavill, thetiktokchoir, notanativespeaker, kickstarter, playyourpart, playmusictogether, virtualband, music, duets
"
pat.smith85,"$PatTSmith
Venmo: @PatSmith85
🦉🦉🦉🦉",False,"follower_count : 72800
following_count : 2711
likes_count : 410000
video_count : 219
last_active : 2022-01-19
freq_post : 3 days
","chadchris86
share_a_cokewithdre
zionmiller
topherhehe
averagehozierenjoyer
arleisham
officialtemptations
shvnsinatra
juliankenn2
johnlegendofficial
tpain",,"instruments : 
styles : rnb (4)
others : duet, bettywhite, goldengirls, letsdosome, commodores, jesusislove, lionelrichie, happyholidays, andre3000, prototype, singwithme, itsnotchristmasyet, spongebob, justpostit, harmony, fyp, iwishitwouldrain, oldiebutgoodie, karaoke, soul
"
dakotadrummorgan,🥁I occasionally get loud🥁,False,"follower_count : 1679
following_count : 986
likes_count : 8253
video_count : 122
last_active : 2022-01-20
freq_post : 1 days
","dakotadrummorgan
thundercat
bassistbrianfranks
thebretcrowshow
felonious_skunk
_boycoupon
tommorello
mikemusokelly
fionakida
tubaryan
evntyd_
jmmorris_music
morgan_le_fayy
gunderfunk","dakotadrummorgan : https://tiktok.com/@dakotadrummorgan/video/7055098967201451311 (duo, vidéo num: 0)
evntyd_ : https://tiktok.com/@dakotadrummorgan/video/7047267440727952687 (duo, vidéo num: 16)
","instruments : drums (10), tuba (2)
styles : 
others : duet, drummersoftiktok, drummerslife, porkpie, meinlcymbals, zildjiancymbals, vicfirth, voiceeffects, inverted, drummer, drumming, drums, fuckyea, funky, vibe, alwaysmoving, guitaristsoftiktok, hardhits, tommorello, riffage
"
